フォルダパス,ファイル名,ファイルサイズ (MB),MIME タイプ,作成日,最終更新日,ファイルURL,ファイルID
70_Book,self_check.pdf,2.78,application/pdf,2023-12-12 21:59,2023-10-19 11:19,https://drive.google.com/file/d/1vQKokx05JDY-REzRWN9x7a2Wy8Sv3baj/view?usp=drivesdk,1vQKokx05JDY-REzRWN9x7a2Wy8Sv3baj
70_Book,to_1733_912_003_5_at.pdf,22.42,application/pdf,2023-12-12 21:59,2023-10-18 19:27,https://drive.google.com/file/d/1O1DYWPwDV-U1x8lrajFe6dhkwV_RZ5_-/view?usp=drivesdk,1O1DYWPwDV-U1x8lrajFe6dhkwV_RZ5_-
70_Book,20120330_1246_33_0706.pdf,10.02,application/pdf,2023-08-10 15:11,2023-08-10 15:11,https://drive.google.com/file/d/1YPVFeQ7KlaXvhQsOx0Z_Sxrz-MjIqonH/view?usp=drivesdk,1YPVFeQ7KlaXvhQsOx0Z_Sxrz-MjIqonH
70_Book,book_list_next.txt,0,text/plain,2023-12-12 20:53,2020-03-27 21:17,https://drive.google.com/file/d/1GDMQ3qDPwMYMDb1RtOPxW_OlEluW1CrW/view?usp=drivesdk,1GDMQ3qDPwMYMDb1RtOPxW_OlEluW1CrW
70_Book,book_list_comick.txt,0.01,text/plain,2023-12-12 20:53,2020-03-27 20:43,https://drive.google.com/file/d/1dnGMvS7NpVwwfMz5FUfuwWICcOw4Ryv2/view?usp=drivesdk,1dnGMvS7NpVwwfMz5FUfuwWICcOw4Ryv2
70_Book,book_list.txt,0.06,text/plain,2023-12-12 20:53,2020-03-27 20:41,https://drive.google.com/file/d/1y27vXKp41QF7E57FIEuKVfit-Z8ZbQXB/view?usp=drivesdk,1y27vXKp41QF7E57FIEuKVfit-Z8ZbQXB
70_Book,book_list_computer.txt,0,text/plain,2023-12-12 20:53,2020-03-27 20:36,https://drive.google.com/file/d/1ZQlWV9VFNLbJNCt18outQP2ix3QmoilT/view?usp=drivesdk,1ZQlWV9VFNLbJNCt18outQP2ix3QmoilT
70_Book,book_list.rb,0,text/x-ruby-script,2023-12-12 20:53,2020-03-27 20:18,https://drive.google.com/file/d/1l44L3YcjNjsu5fl7q1hLGq1v4_fy6jii/view?usp=drivesdk,1l44L3YcjNjsu5fl7q1hLGq1v4_fy6jii
70_Book,Graham - Knuth - Patashnik -  Concrete Mathematics.pdf,11.25,application/pdf,2012-09-10 18:41,2012-09-10 18:41,https://drive.google.com/file/d/0B-4fV-cHXgIoOWFZRDJaWUJSN2c/view?usp=drivesdk&resourcekey=0-GRSBao36IggWN1iTV7QA_A,0B-4fV-cHXgIoOWFZRDJaWUJSN2c
70_Book / kindle,kindlep_聞かせてよ、ファインマンさん ファインマン 著 大貫 昌子 訳 江沢 洋 訳 320p_.pdf,35.23,application/pdf,2023-12-12 21:57,2014-04-29 22:27,https://drive.google.com/file/d/1TDF5l-lFGj5JLQDMDVrtlJOWN33XQ5Z9/view?usp=drivesdk,1TDF5l-lFGj5JLQDMDVrtlJOWN33XQ5Z9
70_Book / kindle,kindlep_科学は不確かだ！ R．P．ファインマン 著 大貫 昌子 訳 200p_4006031467.pdf,19.37,application/pdf,2023-12-12 21:51,2014-04-29 22:23,https://drive.google.com/file/d/1Tbl2znt-0X8kj7bo92GjNZR5f9I3mITz/view?usp=drivesdk,1Tbl2znt-0X8kj7bo92GjNZR5f9I3mITz
